股票名稱,股數,總損益,交易別,成交均價,市價,現值,付出成本,預估損益,報酬率,幣別
"神基","3,010","88,310","現股","109.15","139.0","416,969","328,659","88,310","26.87%","台幣"
"台積電","32","33,346","現股","457.53","1505.0","48,000","14,654","33,346","227.56%","台幣"
"三商壽","6,201","15,561","現股","4.64","7.18","44,355","28,794","15,561","54.04%","台幣"
"鈊象","32","14,093","現股","298.0","741.0","23,634","9,541","14,093","147.71%","台幣"
"元大台灣50","523","11,398","現股","42.35","64.25","33,556","22,158","11,398","51.44%","台幣"
"旺矽","5","9,690","現股","80.0","2025.0","10,091","401","9,690","2416.46%","台幣"
"鴻海","76","9,072","現股","127.96","248.5","18,817","9,745","9,072","93.09%","台幣"
"東元","95","8,102","現股","29.22","115.0","10,888","2,786","8,102","290.81%","台幣"
"台達電","10","6,943","現股","297.5","995.0","9,920","2,977","6,943","233.22%","台幣"
"德律","140","6,569","現股","106.54","154.0","21,491","14,922","6,569","44.02%","台幣"
"台灣精銳","15","6,452","現股","202.67","635.0","9,495","3,043","6,452","212.03%","台幣"
"國泰智能電動車","280","5,614","現股","13.64","33.8","9,448","3,834","5,614","146.43%","台幣"
"華城","8","5,586","現股","83.0","784.0","6,252","666","5,586","838.74%","台幣"
"奇鋐","5","5,214","現股","412.4","1460.0","7,277","2,063","5,214","252.74%","台幣"
"仁寶","1,005","4,934","現股","27.47","32.5","32,552","27,618","4,934","17.87%","台幣"
"富邦公司治理","178","4,599","現股","31.9","57.85","10,283","5,684","4,599","80.91%","台幣"
"永豐美國科技","249","4,471","現股","19.85","38.02","9,438","4,967","4,471","90.01%","台幣"
"川湖","2","4,411","現股","2010.0","4230.0","8,432","4,021","4,411","109.70%","台幣"
"昇陽半導體","39","4,169","現股","63.85","171.5","6,664","2,495","4,169","167.09%","台幣"
"技嘉","23","4,082","現股","92.65","271.5","6,219","2,137","4,082","191.02%","台幣"
"穩懋","149","4,070","現股","94.7","122.5","18,191","14,121","4,070","28.82%","台幣"
"帝寶","48","3,984","現股","60.29","144.0","6,887","2,903","3,984","137.24%","台幣"
"中信小資高價30","260","3,730","現股","12.97","27.45","7,117","3,387","3,730","110.13%","台幣"
"遠雄港","427","3,328","現股","41.83","49.85","21,208","17,880","3,328","18.61%","台幣"
"群聯","5","3,131","現股","445.0","1075.0","5,357","2,226","3,131","140.66%","台幣"
"國泰日經225","105","2,927","現股","33.24","61.4","6,427","3,500","2,927","83.63%","台幣"
"長榮","13","2,462","現股","0.0","190.0","2,462","0","2,462","0.00%","台幣"
"日月光投控","25","2,399","現股","144.6","241.5","6,017","3,618","2,399","66.31%","台幣"
"中砂","15","2,253","現股","158.67","310.0","4,635","2,382","2,253","94.58%","台幣"
"廣達","29","2,071","現股","217.48","290.0","8,382","6,311","2,071","32.82%","台幣"
"亞翔","10","2,045","現股","260.0","466.0","4,646","2,601","2,045","78.62%","台幣"
"中興電","30","2,034","現股","85.47","154.0","4,603","2,569","2,034","79.17%","台幣"
"群翊","15","1,776","現股","154.0","273.5","4,088","2,312","1,776","76.82%","台幣"
"緯創","25","1,709","現股","72.56","141.5","3,525","1,816","1,709","94.11%","台幣"
"至上","70","1,584","現股","43.77","66.7","4,652","3,068","1,584","51.63%","台幣"
"牧德","5","1,511","現股","208.0","512.0","2,552","1,041","1,511","145.15%","台幣"
"富邦日本","73","1,510","現股","25.85","46.71","3,403","1,893","1,510","79.77%","台幣"
"高技","5","1,475","現股","47.0","343.5","1,711","236","1,475","625.00%","台幣"
"台虹","50","1,459","現股","36.4","65.8","3,280","1,821","1,459","80.12%","台幣"
"聯華食","25","1,335","現股","55.32","109.5","2,723","1,388","1,335","96.18%","台幣"
"富邦台50","15","1,298","現股","63.6","150.5","2,254","956","1,298","135.77%","台幣"
"國票金","442","1,266","現股","12.63","15.6","6,865","5,599","1,266","22.61%","台幣"
"國泰金","70","1,265","現股","46.2","64.7","4,510","3,245","1,265","38.98%","台幣"
"聯發科","7","1,203","現股","1128.57","1305.0","9,106","7,903","1,203","15.22%","台幣"
"原相","9","1,135","現股","104.89","232.5","2,083","948","1,135","119.73%","台幣"
"永豐金","43","1,131","現股","0.0","26.4","1,131","0","1,131","0.00%","台幣"
"國泰中國A50","300","1,127","現股","22.25","26.1","7,820","6,693","1,127","16.84%","台幣"
"順達","5","1,116","現股","75.0","299.5","1,492","376","1,116","296.81%","台幣"
"富邦臺灣中小","115","1,098","現股","37.14","47.03","5,387","4,289","1,098","25.60%","台幣"
"亨泰光","44","998","現股","175.0","198.5","8,704","7,706","998","12.95%","台幣"
"第一銅","227","933","現股","36.45","40.75","9,215","8,282","933","11.27%","台幣"
"聯合","20","919","現股","81.6","128.0","2,552","1,633","919","56.28%","台幣"
"聯詠","6","875","現股","244.67","392.5","2,346","1,471","875","59.48%","台幣"
"創意","1","837","現股","822.0","1665.0","1,660","823","837","101.70%","台幣"
"瑞昱","12","813","現股","438.33","508.0","6,075","5,262","813","15.45%","台幣"
"美吾華","272","811","現股","18.78","21.95","5,936","5,125","811","15.82%","台幣"
"興農","40","795","現股","22.75","42.8","1,706","911","795","87.27%","台幣"
"元大高股息","69","751","現股","26.0","37.1","2,552","1,801","751","41.70%","台幣"
"AES-KY","2","700","現股","990.0","1345.0","2,681","1,981","700","35.34%","台幣"
"晉弘","37","697","現股","73.54","92.9","3,422","2,725","697","25.58%","台幣"
"宇隆","7","687","現股","103.14","202.5","1,411","724","687","94.89%","台幣"
"櫻花","34","649","現股","66.12","85.9","2,904","2,255","649","28.78%","台幣"
