股票名稱,股數,總損益,交易別,成交均價,市價,現值,付出成本,預估損益,報酬率,幣別
"遠東新","226","-743","現股","30.58","27.5","6,187","6,930","-743","-10.72%","台幣"
"新纖","255","338","現股","13.59","15.0","3,810","3,472","338","9.74%","台幣"
"大魯閣","270","374","現股","15.94","17.4","4,682","4,308","374","8.68%","台幣"
"華友聯","6","-452","現股","138.33","63.7","379","831","-452","-54.39%","台幣"
"聚陽","19","908","現股","238.53","287.5","5,444","4,536","908","20.02%","台幣"
"東元","95","7,152","現股","29.22","105.0","9,938","2,786","7,152","256.71%","台幣"
"中興電","30","1,734","現股","85.47","144.0","4,303","2,569","1,734","67.50%","台幣"
"華城","13","5,436","現股","347.23","768.0","9,953","4,517","5,436","120.35%","台幣"
"亞崴","50","-100","現股","28.4","26.5","1,321","1,421","-100","-7.04%","台幣"
"中宇","50","230","現股","49.7","54.5","2,716","2,486","230","9.25%","台幣"
"伸興","2","-66","現股","130.0","98.0","195","261","-66","-25.29%","台幣"
"中砂","15","2,260","現股","158.67","310.5","4,642","2,382","2,260","94.88%","台幣"
"巧新","10","-167","現股","59.5","43.35","430","597","-167","-27.97%","台幣"
"興農","40","785","現股","22.75","42.55","1,696","911","785","86.17%","台幣"
"和桐","500","326","現股","7.76","8.44","4,205","3,879","326","8.40%","台幣"
"生達","75","397","現股","53.65","59.2","4,426","4,029","397","9.85%","台幣"
"中碳","13","-421","現股","112.15","80.8","1,042","1,463","-421","-28.78%","台幣"
"永記","11","42","現股","70.64","75.3","822","780","42","5.38%","台幣"
"花仙子","23","-279","現股","64.52","53.1","1,212","1,491","-279","-18.71%","台幣"
"美吾華","272","811","現股","18.78","21.95","5,936","5,125","811","15.82%","台幣"
"寶齡富錦","21","95","現股","61.33","66.2","1,385","1,290","95","7.36%","台幣"
"中化生","5","-344","現股","93.2","24.8","123","467","-344","-73.66%","台幣"
"潤隆","24","248","現股","23.42","34.1","812","564","248","43.97%","台幣"
"凱撒衛","15","49","現股","35.67","39.3","586","537","49","9.12%","台幣"
"士紙","63","-298","現股","58.73","54.5","3,415","3,713","-298","-8.03%","台幣"
"正隆","15","-211","現股","32.0","18.25","271","482","-211","-43.78%","台幣"
"中鋼","1,955","-6,891","現股","21.59","18.15","35,351","42,242","-6,891","-16.31%","台幣"
"第一銅","227","1,014","現股","36.45","41.1","9,296","8,282","1,014","12.24%","台幣"
"川湖","7","2,534","現股","3588.57","3965.0","27,663","25,129","2,534","10.08%","台幣"
"國際中橡","14","-229","現股","25.93","10.15","137","366","-229","-62.57%","台幣"
"厚生","9","12","現股","22.22","23.8","213","201","12","5.97%","台幣"
"和泰車","6","-291","現股","630.0","584.0","3,492","3,783","-291","-7.69%","台幣"
"宇隆","7","743","現股","103.14","210.5","1,467","724","743","102.62%","台幣"
"光寶科","2","206","現股","63.0","167.5","333","127","206","162.20%","台幣"
"聯電","135","157","現股","43.81","45.25","6,082","5,925","157","2.65%","台幣"
"台達電","10","6,653","現股","297.5","966.0","9,630","2,977","6,653","223.48%","台幣"
"鴻海","76","9,190","現股","127.96","250.0","18,935","9,745","9,190","94.30%","台幣"
"仁寶","1,005","3,231","現股","27.47","30.8","30,849","27,618","3,231","11.70%","台幣"
"國巨*","10","462","現股","184.0","231.0","2,303","1,841","462","25.10%","台幣"
"台積電","32","32,399","現股","457.53","1475.0","47,053","14,654","32,399","221.09%","台幣"
"智邦","7","-1,059","現股","1112.86","965.0","6,734","7,793","-1,059","-13.59%","台幣"
"聯強","36","125","現股","57.97","61.8","2,216","2,091","125","5.98%","台幣"
"宏碁","100","104","現股","29.0","30.15","3,005","2,901","104","3.58%","台幣"
"鴻準","40","160","現股","67.0","71.3","2,842","2,682","160","5.97%","台幣"
"英業達","15","-122","現股","51.0","43.2","645","767","-122","-15.91%","台幣"
"廷鑫","20","-301","現股","15.0","0.0","0","301","-301","-100.00%","台幣"
"大同","147","-57","現股","33.66","33.4","4,893","4,950","-57","-1.15%","台幣"
"震旦行","1,012","-3,705","現股","61.24","57.8","58,294","61,999","-3,705","-5.98%","台幣"
"技嘉","23","4,050","現股","92.65","270.0","6,187","2,137","4,050","189.52%","台幣"
"微星","5","-161","現股","142.0","110.5","550","711","-161","-22.64%","台幣"
"瑞昱","12","684","現股","438.33","497.0","5,946","5,262","684","13.00%","台幣"
"廣達","29","1,998","現股","217.48","287.5","8,309","6,311","1,998","31.66%","台幣"
"群光","2","73","現股","90.0","127.5","254","181","73","40.33%","台幣"
"正崴","2,100","-20,087","現股","55.64","46.25","96,797","116,884","-20,087","-17.19%","台幣"
"中華電","36","425","現股","120.61","133.0","4,773","4,348","425","9.77%","台幣"
"錩新","26","-4","現股","24.81","24.95","643","647","-4","-0.62%","台幣"
"固緯","9","244","現股","24.33","51.9","465","221","244","110.41%","台幣"
"偉詮電","32","235","現股","40.59","48.35","1,538","1,303","235","18.04%","台幣"
"神腦","27","-81","現股","31.81","29.25","783","864","-81","-9.38%","台幣"
"聯發科","7","819","現股","1128.57","1250.0","8,722","7,903","819","10.36%","台幣"
"盟立","20","243","現股","52.7","65.1","1,298","1,055","243","23.03%","台幣"
"揚博","5","274","現股","39.2","94.7","471","197","274","139.09%","台幣"
"太子","1,125","-2,269","現股","10.75","8.8","9,854","12,123","-2,269","-18.72%","台幣"
"興富發","70","120","現股","36.07","38.0","2,648","2,528","120","4.75%","台幣"
"長榮","13","2,403","現股","0.0","185.5","2,403","0","2,403","0.00%","台幣"
"榮運","50","-510","現股","67.02","57.0","2,841","3,351","-510","-15.22%","台幣"
"嘉里大榮","100","-47","現股","34.2","33.85","3,374","3,421","-47","-1.37%","台幣"
"台灣高鐵","150","-307","現股","30.45","28.55","4,267","4,574","-307","-6.71%","台幣"
"漢翔","15","328","現股","28.4","50.6","756","428","328","76.64%","台幣"
"王品","5","75","現股","201.4","217.5","1,083","1,008","75","7.44%","台幣"
"雄獅","22","882","現股","130.45","171.5","3,757","2,875","882","30.68%","台幣"
"六角","12","-535","現股","116.33","72.3","863","1,398","-535","-38.27%","台幣"
"路易莎咖啡","24","-227","現股","101.25","92.3","2,206","2,433","-227","-9.33%","台幣"
"彰銀","154","306","現股","18.34","20.45","3,133","2,827","306","10.82%","台幣"
"台中銀","107","451","現股","17.24","21.55","2,297","1,846","451","24.43%","台幣"
"臺企銀","23","160","現股","8.61","15.8","359","199","160","80.40%","台幣"
"三商壽","6,201","16,240","現股","4.64","7.29","45,034","28,794","16,240","56.40%","台幣"
"華南金","15","125","現股","21.07","29.75","443","318","125","39.31%","台幣"
"富邦金","5","212","現股","49.0","92.0","458","246","212","86.18%","台幣"
"國泰金","70","1,348","現股","46.2","65.9","4,593","3,245","1,348","41.54%","台幣"
"玉山金","10","71","現股","23.0","30.35","302","231","71","30.74%","台幣"
"元大金","20","233","現股","23.85","35.85","712","479","233","48.64%","台幣"
"兆豐金","523","406","現股","39.33","40.3","21,005","20,599","406","1.97%","台幣"
"台新新光金","100","535","現股","13.79","19.2","1,914","1,379","535","38.80%","台幣"
"台新新光辛特","26","240","現股","0.0","9.28","240","0","240","0.00%","台幣"
"國票金","442","1,459","現股","12.63","16.05","7,058","5,599","1,459","26.06%","台幣"
"永豐金","43","1,157","現股","0.0","27.0","1,157","0","1,157","0.00%","台幣"
"中信金","20","470","現股","19.8","43.5","867","397","470","118.39%","台幣"
"統一超","4","-105","現股","262.75","238.5","949","1,054","-105","-9.96%","台幣"
"三商家購","50","126","現股","35.34","38.0","1,894","1,768","126","7.13%","台幣"
"神基","3,010","82,310","現股","109.15","137.0","410,969","328,659","82,310","25.04%","台幣"
"大立光","2","224","現股","2120.0","2240.0","4,466","4,242","224","5.28%","台幣"
"奇鋐","5","5,487","現股","412.4","1515.0","7,550","2,063","5,487","265.97%","台幣"
"德律","140","5,874","現股","106.54","149.0","20,796","14,922","5,874","39.36%","台幣"
"威健","20","35","現股","28.95","30.9","616","581","35","6.02%","台幣"
"聯詠","6","839","現股","244.67","386.5","2,310","1,471","839","57.04%","台幣"
"晶技","1,060","-6,839","現股","92.52","86.4","91,273","98,112","-6,839","-6.97%","台幣"
"富華新","152","-323","現股","21.22","19.25","2,909","3,232","-323","-9.99%","台幣"
"僑威","30","198","現股","66.17","73.1","2,185","1,987","198","9.96%","台幣"
"日電貿","5","173","現股","49.0","84.2","419","246","173","70.33%","台幣"
"穩懋","149","4,368","現股","94.7","124.5","18,489","14,121","4,368","30.93%","台幣"
"順達","5","1,021","現股","75.0","280.5","1,397","376","1,021","271.54%","台幣"
"原相","9","1,072","現股","104.89","225.5","2,020","948","1,072","113.08%","台幣"
"緯創","25","1,672","現股","72.56","140.0","3,488","1,816","1,672","92.07%","台幣"
"鈊象","32","13,775","現股","298.0","731.0","23,316","9,541","13,775","144.38%","台幣"
"上詮","5","-95","現股","375.0","357.5","1,781","1,876","-95","-5.06%","台幣"
"創意","1","1,061","現股","822.0","1890.0","1,884","823","1,061","128.92%","台幣"
"由田","32","46","現股","82.28","84.2","2,683","2,637","46","1.74%","台幣"
"群創","24","-127","現股","18.33","13.15","314","441","-127","-28.80%","台幣"
"崧騰","5","19","現股","45.0","49.2","245","226","19","8.41%","台幣"
"揚明光","40","336","現股","44.5","53.1","2,117","1,781","336","18.87%","台幣"
"牧德","5","1,333","現股","208.0","476.5","2,374","1,041","1,333","128.05%","台幣"
"大聯大","20","209","現股","54.6","65.3","1,302","1,093","209","19.12%","台幣"
"欣陸","50","18","現股","21.64","22.1","1,101","1,083","18","1.66%","台幣"
"永信","5","56","現股","43.4","55.1","274","218","56","25.69%","台幣"
"日月光投控","25","2,064","現股","144.6","228.0","5,682","3,618","2,064","57.05%","台幣"
"佳醫","5","132","現股","57.0","84.0","418","286","132","46.15%","台幣"
"健喬","74","568","現股","24.99","32.95","2,420","1,852","568","30.67%","台幣"
"聯合","20","879","現股","81.6","126.0","2,512","1,633","879","53.83%","台幣"
"久裕","10","-11","現股","23.0","22.1","220","231","-11","-4.76%","台幣"
"安克","201","-204","現股","16.8","15.85","3,174","3,378","-204","-6.04%","台幣"
"崇友","7","385","現股","65.71","121.5","847","462","385","83.33%","台幣"
"方土霖","50","-207","現股","43.0","39.0","1,944","2,151","-207","-9.62%","台幣"
"台灣精銳","15","6,737","現股","202.67","654.0","9,780","3,043","6,737","221.39%","台幣"
"泰博","10","-90","現股","131.0","122.5","1,221","1,311","-90","-6.86%","台幣"
"上品","5","5","現股","223.0","225.0","1,121","1,116","5","0.45%","台幣"
"新唐","20","-271","現股","67.8","54.5","1,086","1,357","-271","-19.97%","台幣"
"和碩","10","49","現股","67.5","72.8","725","676","49","7.25%","台幣"
"協益","50","-93","現股","27.0","25.25","1,258","1,351","-93","-6.88%","台幣"
"高技","5","1,316","現股","47.0","311.5","1,552","236","1,316","557.63%","台幣"
"永信建","30","-1,435","現股","119.5","72.0","2,152","3,587","-1,435","-40.01%","台幣"
"隆大","80","-252","現股","31.48","28.5","2,270","2,522","-252","-9.99%","台幣"
"聖暉*","10","-2,077","現股","848.5","643.0","6,410","8,487","-2,077","-24.47%","台幣"
"遠雄港","427","2,972","現股","41.83","49.0","20,852","17,880","2,972","16.62%","台幣"
"寶雅","7","-255","現股","484.71","450.0","3,140","3,395","-255","-7.51%","台幣"
"群益期","67","529","現股","42.07","50.2","3,351","2,822","529","18.75%","台幣"
"亞翔","10","1,391","現股","260.0","400.5","3,992","2,601","1,391","53.48%","台幣"
"晉倫","20","-40","現股","30.0","28.15","561","601","-40","-6.66%","台幣"
"瑞儀","17","0","現股","128.41","129.0","2,186","2,186","0","0.00%","台幣"
"中探針","30","220","現股","47.17","54.8","1,638","1,418","220","15.51%","台幣"
"旺矽","5","8,171","現股","80.0","1720.0","8,572","401","8,171","2037.66%","台幣"
"台表科","10","209","現股","84.9","106.5","1,060","851","209","24.56%","台幣"
"大樹","229","-2,967","現股","116.54","104.0","23,733","26,700","-2,967","-11.11%","台幣"
"惠光","71","-486","現股","30.46","23.9","1,685","2,171","-486","-22.39%","台幣"
"保勝光學","5","-206","現股","102.0","61.2","305","511","-206","-40.31%","台幣"
"長科*","10","172","現股","32.0","49.65","494","322","172","53.42%","台幣"
"和潤企業","20","-413","現股","83.0","62.6","1,248","1,661","-413","-24.86%","台幣"
"帝寶","48","3,862","現股","60.29","141.5","6,765","2,903","3,862","133.03%","台幣"
"群翊","15","1,471","現股","154.0","253.0","3,783","2,312","1,471","63.62%","台幣"
"亨泰光","44","998","現股","175.0","198.5","8,704","7,706","998","12.95%","台幣"
"AES-KY","2","720","現股","990.0","1355.0","2,701","1,981","720","36.35%","台幣"
"晉弘","37","638","現股","73.54","91.3","3,363","2,725","638","23.41%","台幣"
"崑鼎","20","150","現股","287.5","296.0","5,902","5,752","150","2.61%","台幣"
"宏碁資訊","4","386","現股","125.0","223.0","888","502","386","76.89%","台幣"
"數泓科","11","410","現股","75.45","113.5","1,242","832","410","49.28%","台幣"
"偉康科技","64","-747","現股","60.91","49.55","3,157","3,904","-747","-19.13%","台幣"
"大江基因","15","-971","現股","103.33","39.0","582","1,553","-971","-62.52%","台幣"
"萬達寵物","20","-215","現股","68.0","57.5","1,146","1,361","-215","-15.80%","台幣"
"昇陽半導體","39","3,627","現股","63.85","157.5","6,122","2,495","3,627","145.37%","台幣"
"台虹","50","1,578","現股","36.4","68.2","3,399","1,821","1,578","86.66%","台幣"
"網家","113","-2,689","現股","53.81","30.45","3,411","6,100","-2,689","-44.08%","台幣"
"元太","5","-97","現股","200.0","181.5","904","1,001","-97","-9.69%","台幣"
"至上","70","2,658","現股","43.77","82.1","5,726","3,068","2,658","86.64%","台幣"
"福懋科","50","967","現股","26.04","45.55","2,270","1,303","967","74.21%","台幣"
"明基材","5","-52","現股","30.0","20.15","99","151","-52","-34.44%","台幣"
"群聯","5","4,328","現股","445.0","1315.0","6,554","2,226","4,328","194.43%","台幣"
"日友","204","-8,295","現股","123.72","83.6","16,976","25,271","-8,295","-32.82%","台幣"
"千附","50","-105","現股","41.6","39.65","1,976","2,081","-105","-5.05%","台幣"
"鉅邁","22","-351","現股","67.41","51.8","1,134","1,485","-351","-23.64%","台幣"
"柏文","10","-36","現股","162.0","159.0","1,585","1,621","-36","-2.22%","台幣"
"東哥遊艇","37","-5,776","現股","362.05","207.0","7,629","13,405","-5,776","-43.09%","台幣"
"欣雄","11","-182","現股","59.91","43.8","478","660","-182","-27.58%","台幣"
"台汽電","23","311","現股","34.87","48.95","1,116","805","311","38.63%","台幣"
"寶成","50","-24","現股","29.7","29.35","1,462","1,486","-24","-1.62%","台幣"
"大台北","1,170","-1,382","現股","31.06","30.0","34,980","36,362","-1,382","-3.80%","台幣"
"櫻花","34","603","現股","66.12","84.5","2,858","2,255","603","26.74%","台幣"
"中聯資源","1,030","-8,822","現股","79.59","71.3","73,188","82,010","-8,822","-10.76%","台幣"
"中鼎","225","-1,672","現股","39.11","31.8","7,132","8,804","-1,672","-18.99%","台幣"
"全國","22","172","現股","49.0","57.4","1,255","1,083","172","15.88%","台幣"
"信義","285","-1,204","現股","27.06","22.95","6,516","7,720","-1,204","-15.60%","台幣"
"裕融","6","-248","現股","133.33","93.1","555","803","-248","-30.88%","台幣"
"潤泰新","2,310","-3,440","現股","31.53","30.15","69,411","72,851","-3,440","-4.72%","台幣"
"世紀鋼","10","14","現股","148.0","150.0","1,495","1,481","14","0.95%","台幣"
總預估損益,"218,919",總報酬率,"13.36%"
總預估現值,"1,857,358",總成本,"1,638,439"
總融資現金,"0",總利息,"0"
