股票名稱,股數,總損益,交易別,成交均價,市價,現值,付出成本,預估損益,報酬率,幣別
"元大台灣50","532","10,748","現股","42.7","63.0","33,472","22,724","10,748","47.30%","台幣"
"元大高股息","69","710","現股","26.0","36.51","2,511","1,801","710","39.42%","台幣"
"富邦台50","15","1,256","現股","63.6","147.75","2,212","956","1,256","131.38%","台幣"
"國泰中國A50","307","1,198","現股","22.33","26.34","8,075","6,877","1,198","17.42%","台幣"
"富邦日本","73","1,517","現股","25.85","46.8","3,410","1,893","1,517","80.14%","台幣"
"國泰日經225","105","2,787","現股","33.24","60.05","6,287","3,500","2,787","79.63%","台幣"
"國泰20年美債","664","-654","現股","29.61","28.7","19,047","19,701","-654","-3.32%","台幣"
"富邦公司治理","178","4,421","現股","31.9","56.85","10,105","5,684","4,421","77.78%","台幣"
"富邦臺灣中小","115","1,029","現股","37.14","46.4","5,318","4,289","1,029","23.99%","台幣"
"中信美國公債20年","100","-257","現股","30.32","27.86","2,780","3,037","-257","-8.46%","台幣"
"國泰永續高股息","120","408","現股","17.85","21.45","2,560","2,152","408","18.96%","台幣"
"永豐美國科技","249","4,443","現股","19.85","37.93","9,410","4,967","4,443","89.45%","台幣"
"國泰智能電動車","280","5,375","現股","13.64","32.99","9,209","3,834","5,375","140.19%","台幣"
"中信小資高價30","260","3,575","現股","12.97","26.86","6,962","3,387","3,575","105.55%","台幣"
"中信綠能及電動車","20","114","現股","13.6","19.54","388","274","114","41.61%","台幣"
"中信電池及儲能","460","-45","現股","13.27","13.25","6,075","6,120","-45","-0.74%","台幣"
"台泥","217","-1,640","現股","29.72","22.3","4,819","6,459","-1,640","-25.39%","台幣"
"亞泥","474","-3,168","現股","43.53","37.05","17,489","20,657","-3,168","-15.34%","台幣"
"味王","116","-1,066","現股","48.73","39.75","4,592","5,658","-1,066","-18.84%","台幣"
"大成","51","189","現股","49.14","53.3","2,703","2,514","189","7.52%","台幣"
"卜蜂","7","438","現股","76.0","139.5","972","534","438","82.02%","台幣"
"統一","20","145","現股","67.9","75.7","1,506","1,361","145","10.65%","台幣"
"佳格","80","-1,063","現股","43.96","30.9","2,460","3,523","-1,063","-30.17%","台幣"
"聯華","5","-22","現股","52.6","48.6","242","264","-22","-8.33%","台幣"
"聯華食","25","1,078","現股","55.32","99.3","2,466","1,388","1,078","77.67%","台幣"
"大統益","25","-198","現股","150.96","144.0","3,586","3,784","-198","-5.23%","台幣"
"黑松","35","100","現股","34.11","37.3","1,298","1,198","100","8.35%","台幣"
"安心","6","8","現股","61.0","63.0","376","368","8","2.17%","台幣"
"台塑","515","-3,491","現股","47.98","41.4","21,240","24,731","-3,491","-14.12%","台幣"
"南亞","335","1,609","現股","44.7","49.7","16,594","14,985","1,609","10.74%","台幣"
"台聚","40","-435","現股","21.73","10.95","436","871","-435","-49.94%","台幣"
"三芳","205","816","現股","28.73","32.9","6,717","5,901","816","13.83%","台幣"
"亞聚","20","-231","現股","24.5","13.05","260","491","-231","-47.05%","台幣"
"台達化","520","-539","現股","11.99","11.0","5,701","6,240","-539","-8.64%","台幣"
"永裕","60","-853","現股","33.48","19.55","1,162","2,015","-853","-42.33%","台幣"
